Name,LSFormula,RT,Calc Mass,Class,FA,FA Group Key,MainIon,,,
TG(16:0_14:2_21:0) +NH4,C54 H100 O6,1.053,844.752,TG,16:0_14:2_21:0,51:02:00,#REF!,,,
TG(4:0_8:0_12:4) +NH4,C27 H42 O6,1.19,462.2981,TG,4:0_8:0_12:4,24:04:00,#REF!,,,
DG(4:0_12:1),C19 H34 O5,1.201,342.2406,DG,4:0_12:1,16:01,#NAME?,,,
PC(4:0_12:1),C24 H46 O8 N1 P1,1.353,507.2961,PC,4:0_12:1,16:01,#NAME?,,,
DG(6:0_10:2),C19 H32 O5,1.386,340.225,DG,6:0_10:2,16:02,#NAME?,,,
LPC(17:0),C25 H52 O7 N1 P1,1.391,509.3481,LPC,17:00,17:00,#NAME?,,,
TG(4:0_9:0_12:4) +NH4,C28 H44 O6,1.408,476.3138,TG,4:0_9:0_12:4,25:04:00,#REF!,,,
DG(8:0_8:0),C19 H36 O5,1.411,344.2563,DG,8:0_8:0,16:00,#NAME?,,,
TG(6:0_6:0_12:3) +NH4,C27 H44 O6,1.412,464.3138,TG,6:0_6:0_12:3,24:03:00,#REF!,,,
TG(4:0_9:0_12:3) +NH4,C28 H46 O6,1.413,478.3294,TG,4:0_9:0_12:3,25:03:00,#REF!,,,
TG(6:0_10:4_12:3)+NH4,C31 H44 O6,1.426,512.3138,TG,6:0_10:4_12:3,28:07:00,#NAME?,,,
DG(4:0_12:1),C19 H34 O5,1.433,342.2406,DG,4:0_12:1,16:01,#NAME?,,,
PC(8:0_8:0),C24 H48 O8 N1 P1,1.449,509.3118,PC,8:0_8:0,16:00,#NAME?,,,
DG(4:0_10:1),C17 H30 O5,1.469,314.2093,DG,4:0_10:1,14:01,#NAME?,,,
DG(8:0e_10:4) +NH4,C21 H34 O4,1.481,350.2457,DG,8:0e_10:4,18:4e,0,,,
LPC(12:0),C20 H42 O7 N1 P1,1.534,439.2699,LPC,12:00,12:00,#NAME?,,,
LPC(16:3),C24 H44 O7 N1 P1,1.552,489.2855,LPC,16:03,16:03,#NAME?,,,
TG(4:0_6:0_9:0)+NH4,C22 H40 O6,1.575,400.2825,TG,4:0_6:0_9:0,19:00,#NAME?,,,
